address,city,state,zip,price,beds,baths,sqft,equity_pct,lat,lng,tags,property_type,year_built,lot_size,price_per_sqft,days_on_market,image,status,sold_date,sold_price,owner_name,owner_mailing_address,owner_mailing_city,owner_mailing_state,owner_mailing_zip,owner_occupied,vacant,ownership_months,county,apn
8901 Sunset Blvd,Los Angeles,CA,90069,4200000,5,4.5,4500,32,34.0901,-118.3856,"{absentee}",house,2019,9500,933,10,,active,,,Hollywood Holdings,9000 Wilshire Blvd,Beverly Hills,CA,90212,false,false,24,Los Angeles,
1234 Rodeo Drive,Beverly Hills,CA,90210,8500000,6,6,6800,28,34.0674,-118.4003,"{absentee,highEquity}",house,2020,15000,1250,4,,active,,,Celebrity Trust,1234 Rodeo Drive,Beverly Hills,CA,90210,true,false,18,Los Angeles,
5678 Mulholland Dr,Los Angeles,CA,90068,3800000,4,4,3900,40,34.1285,-118.3612,"{highEquity}",house,2015,12000,974,14,,active,,,Film Producer LLC,5678 Mulholland Dr,Los Angeles,CA,90068,true,false,48,Los Angeles,
910 Venice Blvd,Venice,CA,90291,2100000,3,2.5,2200,52,33.9925,-118.4598,"{highEquity}",house,2010,5500,955,25,,active,,,Beach Life Inc,910 Venice Blvd,Venice,CA,90291,true,false,72,Los Angeles,
2468 Santa Monica Blvd,Santa Monica,CA,90404,1750000,3,2,1800,58,34.0259,-118.4912,"{absentee,highEquity}",condo,2018,0,972,18,,active,,,Real Estate Trust,100 Park Ave,New York,NY,10017,false,false,30,Los Angeles,
3579 Hollywood Blvd,Los Angeles,CA,90028,1450000,2,2,1600,48,34.1016,-118.3267,"{vacant}",condo,2016,0,906,32,,active,,,LA Investments,3579 Hollywood Blvd,Los Angeles,CA,90028,false,true,42,Los Angeles,
4680 Wilshire Blvd,Los Angeles,CA,90010,2650000,4,3,2800,44,34.0624,-118.3089,"{absentee}",condo,2021,0,946,8,,active,,,West Coast Holdings,1 Market St,San Francisco,CA,94105,false,false,15,Los Angeles,
7890 Pacific Coast Hwy,Malibu,CA,90265,12500000,5,5.5,5500,22,34.0342,-118.6834,"{absentee}",house,2022,18000,2273,3,,active,,,Tech Billionaire LLC,1 Hacker Way,Menlo Park,CA,94025,false,false,8,Los Angeles,
1357 Beverly Glen,Los Angeles,CA,90077,3200000,4,3.5,3200,38,34.0912,-118.4356,"{highEquity}",house,2014,8500,1000,20,,active,,,Beverly Properties,1357 Beverly Glen,Los Angeles,CA,90077,true,false,54,Los Angeles,
2468 Laurel Canyon,Los Angeles,CA,90046,1950000,3,2,2100,55,34.1089,-118.3678,"{highEquity,absentee}",house,2008,6500,929,28,,active,,,Music Industry Trust,2468 Laurel Canyon,Los Angeles,CA,90046,false,false,96,Los Angeles,
350 5th Avenue,New York,NY,10118,4500000,3,3,2800,35,40.7484,-73.9857,"{absentee}",condo,2018,0,1607,12,,active,,,Empire Holdings,350 5th Avenue,New York,NY,10118,true,false,24,New York,
15 Central Park West,New York,NY,10023,18500000,5,5.5,5200,25,40.7695,-73.9818,"{absentee,highEquity}",condo,2020,0,3558,5,,active,,,Billionaire Trust,15 Central Park West,New York,NY,10023,true,false,18,New York,
432 Park Avenue,New York,NY,10022,12800000,4,4.5,4100,30,40.7614,-73.9718,"{absentee}",condo,2019,0,3122,8,,active,,,Global Investments,432 Park Avenue,New York,NY,10022,true,false,22,New York,
56 Leonard Street,New York,NY,10013,6200000,3,3,2600,42,40.7189,-74.0056,"{highEquity}",condo,2017,0,2385,15,,active,,,TriBeCa LLC,56 Leonard Street,New York,NY,10013,true,false,36,New York,
100 Barclay Street,New York,NY,10007,3800000,2,2.5,1900,48,40.7134,-74.0104,"{highEquity,absentee}",condo,2021,0,2000,10,,active,,,Financial District Holdings,100 Wall St,New York,NY,10005,false,false,15,New York,
200 West 72nd St,New York,NY,10023,2450000,3,2,1800,55,40.7789,-73.9812,"{highEquity}",condo,2015,0,1361,22,,active,,,Upper West LLC,200 West 72nd St,New York,NY,10023,true,false,48,New York,
88 Greenwich Street,New York,NY,10006,5600000,4,3.5,3200,38,40.7089,-74.0134,"{absentee}",condo,2020,0,1750,9,,active,,,Downtown Properties,88 Greenwich Street,New York,NY,10006,true,false,20,New York,
1 Sutton Place,New York,NY,10022,8900000,5,4,4500,32,40.7578,-73.9612,"{absentee,highEquity}",condo,2018,0,1978,6,,active,,,East Side Trust,1 Sutton Place,New York,NY,10022,true,false,28,New York,
75 Wall Street,New York,NY,10005,2100000,2,2,1400,60,40.7056,-74.0089,"{highEquity,vacant}",condo,2016,0,1500,35,,active,,,Wall St Investments,75 Wall Street,New York,NY,10005,false,true,42,New York,
250 West 81st St,New York,NY,10024,3200000,3,2.5,2200,45,40.7845,-73.9778,"{absentee}",condo,2019,0,1455,18,,active,,,Park Properties,250 West 81st St,New York,NY,10024,true,false,25,New York,
3600 Las Vegas Blvd,Las Vegas,NV,89109,2800000,4,4,4200,42,36.1215,-115.1689,"{absentee}",house,2019,8500,667,15,,active,,,Vegas Holdings LLC,3600 Las Vegas Blvd,Las Vegas,NV,89109,true,false,24,Clark,
1000 Summerlin Pkwy,Las Vegas,NV,89144,1250000,4,3,3200,55,36.1612,-115.3345,"{highEquity}",house,2017,7500,391,22,,active,,,Desert Dreams Inc,1000 Summerlin Pkwy,Las Vegas,NV,89144,true,false,42,Clark,
888 Red Rock Canyon,Las Vegas,NV,89135,3500000,5,4.5,5000,38,36.1389,-115.4123,"{absentee,highEquity}",house,2020,15000,700,8,,active,,,California Investor,100 Wilshire Blvd,Los Angeles,CA,90025,false,false,18,Clark,
2500 Paradise Road,Las Vegas,NV,89104,680000,3,2,1800,62,36.1378,-115.1523,"{highEquity,vacant}",house,2005,5500,378,45,,active,,,Vacant Properties LLC,PO Box 5678,Las Vegas,NV,89101,false,true,120,Clark,
4200 Spring Mountain,Las Vegas,NV,89102,920000,3,2.5,2200,52,36.1267,-115.2045,"{highEquity}",townhouse,2015,3200,418,28,,active,,,Henderson Holdings,4200 Spring Mountain,Las Vegas,NV,89102,true,false,48,Clark,
7500 Centennial Pkwy,Las Vegas,NV,89149,750000,4,2.5,2800,58,36.2712,-115.2489,"{highEquity}",house,2012,6500,268,32,,active,,,North LV Trust,7500 Centennial Pkwy,Las Vegas,NV,89149,true,false,72,Clark,
500 Casino Center,Las Vegas,NV,89101,1450000,2,2,1600,45,36.1699,-115.1423,"{absentee}",condo,2021,0,906,10,,active,,,Downtown Vegas Inc,500 Casino Center,Las Vegas,NV,89101,false,false,14,Clark,
1800 Flamingo Road,Las Vegas,NV,89119,850000,3,2,1900,50,36.1156,-115.1734,"{absentee,highEquity}",condo,2018,0,447,20,,active,,,Strip Properties,1800 Flamingo Road,Las Vegas,NV,89119,false,false,30,Clark,
6200 Elkhorn Road,Las Vegas,NV,89131,620000,3,2,2100,65,36.2534,-115.2678,"{highEquity}",house,2008,5800,295,38,,active,,,Family Trust,6200 Elkhorn Road,Las Vegas,NV,89131,true,false,96,Clark,
9000 Alta Drive,Las Vegas,NV,89145,1100000,4,3,2900,48,36.1789,-115.3012,"{absentee}",house,2016,7000,379,25,,active,,,West Vegas Holdings,9000 Alta Drive,Las Vegas,NV,89145,true,false,36,Clark,
500 E Main Street,Charlotte,NC,28202,1850000,4,3.5,3200,45,35.2271,-80.8431,"{absentee}",condo,2020,0,578,12,,active,,,Banking Trust,500 E Main Street,Charlotte,NC,28202,true,false,20,Mecklenburg,
1200 South Blvd,Charlotte,NC,28203,650000,3,2,1800,58,35.2112,-80.8567,"{highEquity}",townhouse,2016,2500,361,25,,active,,,SouthEnd Properties,1200 South Blvd,Charlotte,NC,28203,true,false,48,Mecklenburg,
3500 Providence Road,Charlotte,NC,28211,2200000,5,4,4200,42,35.1623,-80.8134,"{highEquity,absentee}",house,2018,12000,524,15,,active,,,Myers Park LLC,3500 Providence Road,Charlotte,NC,28211,false,false,30,Mecklenburg,
800 Queens Road,Charlotte,NC,28207,1450000,4,3,2800,52,35.2089,-80.8312,"{highEquity}",house,2015,8500,518,20,,active,,,Dilworth Trust,800 Queens Road,Charlotte,NC,28207,true,false,54,Mecklenburg,
200 W Trade Street,Charlotte,NC,28202,580000,2,2,1400,48,35.2289,-80.8478,"{absentee}",condo,2019,0,414,18,,active,,,Uptown Holdings,200 W Trade Street,Charlotte,NC,28202,true,false,26,Mecklenburg,
4500 Sharon Road,Charlotte,NC,28211,1650000,4,3.5,3500,55,35.1345,-80.8256,"{highEquity}",house,2017,9500,471,22,,active,,,SouthPark LLC,4500 Sharon Road,Charlotte,NC,28211,true,false,42,Mecklenburg,
1500 Central Ave,Charlotte,NC,28205,425000,3,2,1600,65,35.2234,-80.8123,"{highEquity,vacant}",house,1985,5500,266,42,,active,,,Plaza Midwood Trust,1500 Central Ave,Charlotte,NC,28205,false,true,180,Mecklenburg,
6800 Fairview Road,Charlotte,NC,28210,980000,3,2.5,2400,50,35.1467,-80.8589,"{absentee}",house,2014,7000,408,28,,active,,,Investment Group,6800 Fairview Road,Charlotte,NC,28210,true,false,60,Mecklenburg,
2200 Park Road,Charlotte,NC,28203,720000,3,2,2000,55,35.1989,-80.8623,"{highEquity}",house,2012,6000,360,30,,active,,,Dilworth Holdings,2200 Park Road,Charlotte,NC,28203,true,false,72,Mecklenburg,
100 N Tryon Street,Charlotte,NC,28202,1200000,2,2.5,1800,40,35.2278,-80.8434,"{absentee}",condo,2021,0,667,8,,active,,,Banking Corp,100 N Tryon Street,Charlotte,NC,28202,false,false,12,Mecklenburg,
600 E Main Street,Aspen,CO,81611,8500000,5,5,4800,35,39.1911,-106.8175,"{absentee,highEquity}",house,2019,12000,1771,8,,active,,,Tech Executive Trust,1 Infinite Loop,Cupertino,CA,95014,false,false,24,Pitkin,
200 S Galena Street,Aspen,CO,81611,12500000,6,6,6200,28,39.1889,-106.8198,"{absentee}",house,2021,15000,2016,4,,active,,,Hedge Fund LLC,100 Park Avenue,New York,NY,10017,false,false,14,Pitkin,
450 W Bleeker Street,Aspen,CO,81611,6200000,4,4,3800,42,39.1934,-106.8234,"{highEquity}",house,2017,9500,1632,15,,active,,,Colorado Holdings,450 W Bleeker Street,Aspen,CO,81611,true,false,42,Pitkin,
800 E Durant Avenue,Aspen,CO,81611,4500000,3,3.5,2800,48,39.1856,-106.8112,"{highEquity,absentee}",condo,2018,0,1607,12,,active,,,Ski Ventures Inc,800 E Durant Avenue,Aspen,CO,81611,false,false,30,Pitkin,
150 Monarch Street,Aspen,CO,81611,9800000,5,5.5,5500,32,39.1923,-106.8189,"{absentee}",house,2020,14000,1782,6,,active,,,Film Star Trust,9000 Sunset Blvd,Los Angeles,CA,90069,false,false,18,Pitkin,
300 E Hopkins Avenue,Aspen,CO,81611,3200000,3,2.5,2200,55,39.1901,-106.8167,"{highEquity}",condo,2015,0,1455,22,,active,,,Mountain Properties,300 E Hopkins Avenue,Aspen,CO,81611,true,false,54,Pitkin,
700 Cemetery Lane,Aspen,CO,81611,7500000,4,4.5,4200,38,39.1967,-106.8223,"{absentee,highEquity}",house,2018,11000,1786,10,,active,,,Private Equity Fund,100 Greenwich Ave,New York,NY,10011,false,false,28,Pitkin,
550 S Mill Street,Aspen,CO,81611,5800000,4,4,3600,42,39.1845,-106.8201,"{highEquity}",house,2016,8500,1611,18,,active,,,Aspen Trust,550 S Mill Street,Aspen,CO,81611,true,false,48,Pitkin,
900 E Hyman Avenue,Aspen,CO,81611,4200000,3,3,2600,50,39.1878,-106.8089,"{absentee}",condo,2019,0,1615,14,,active,,,Entertainment LLC,9000 Wilshire Blvd,Beverly Hills,CA,90212,false,false,22,Pitkin,
250 N Original Street,Aspen,CO,81611,6800000,5,4.5,4000,45,39.1945,-106.8212,"{highEquity,absentee}",house,2017,10500,1700,12,,active,,,West End Holdings,250 N Original Street,Aspen,CO,81611,false,false,36,Pitkin,
789 Brickell Ave Unit 2505,Miami,FL,33131,1250000,2,2,1200,48,25.7634,-80.1912,"{highEquity}",condo,2019,0,1042,20,,active,,,Condo Investor LLC,100 Main St,Boston,MA,02110,false,false,25,Miami-Dade,
1500 Ocean Drive,Miami Beach,FL,33139,3800000,4,4,3200,38,25.7756,-80.1298,"{absentee,highEquity}",house,2020,7500,1188,9,,active,,,Beach Holdings Inc,1500 Ocean Drive,Miami Beach,FL,33139,true,false,20,Miami-Dade,
4567 Wilshire Blvd Unit 1801,Los Angeles,CA,90010,1650000,2,2,1400,52,34.0612,-118.3078,"{highEquity}",condo,2018,0,1179,22,,active,,,LA Living LLC,4567 Wilshire Blvd,Los Angeles,CA,90010,true,false,35,Los Angeles,
2222 Avenue of Stars,Los Angeles,CA,90067,2850000,3,2.5,2100,45,34.0589,-118.4145,"{absentee}",condo,2021,0,1357,11,,active,,,Century City Trust,2222 Avenue of Stars,Los Angeles,CA,90067,false,false,16,Los Angeles,
77 Hudson Street Unit 3201,New York,NY,10013,4200000,2,2.5,1800,42,40.7178,-74.0078,"{absentee,highEquity}",condo,2020,0,2333,14,,active,,,Jersey City Views LLC,77 Hudson Street,Jersey City,NJ,07302,false,false,22,New York,
888 Park Avenue,New York,NY,10075,9500000,4,4,3800,35,40.7723,-73.9634,"{absentee}",condo,2019,0,2500,7,,active,,,Park Ave Holdings,888 Park Avenue,New York,NY,10075,true,false,28,New York,
100 Bayshore Blvd,Tampa,FL,33606,2850000,5,4,4200,42,27.9256,-82.4634,"{absentee,highEquity}",house,2019,9500,679,12,,active,,,Bayshore Holdings,100 Bayshore Blvd,Tampa,FL,33606,true,false,24,Hillsborough,
2500 W Swann Ave,Tampa,FL,33609,1450000,4,3,2800,55,27.9389,-82.4912,"{highEquity}",house,2017,7500,518,18,,active,,,Hyde Park Trust,2500 W Swann Ave,Tampa,FL,33609,true,false,42,Hillsborough,
500 Harbour Island Blvd,Tampa,FL,33602,1850000,3,2.5,2200,48,27.9412,-82.4523,"{absentee}",condo,2020,0,841,10,,active,,,Island Properties,500 Harbour Island Blvd,Tampa,FL,33602,false,false,20,Hillsborough,
1200 S Howard Ave,Tampa,FL,33606,680000,3,2,1600,62,27.9334,-82.4789,"{highEquity}",townhouse,2015,2200,425,28,,active,,,SoHo Investments,1200 S Howard Ave,Tampa,FL,33606,true,false,54,Hillsborough,
3800 W Bay to Bay,Tampa,FL,33629,2200000,4,3.5,3500,45,27.9156,-82.5034,"{highEquity,absentee}",house,2018,11000,629,15,,active,,,Beach Park LLC,3800 W Bay to Bay,Tampa,FL,33629,false,false,30,Hillsborough,
800 N Ashley Drive,Tampa,FL,33602,920000,2,2,1400,52,27.9523,-82.4612,"{absentee}",condo,2021,0,657,8,,active,,,Downtown Tampa Inc,800 N Ashley Drive,Tampa,FL,33602,false,false,14,Hillsborough,
4500 W Gandy Blvd,Tampa,FL,33611,750000,3,2,1900,58,27.8889,-82.5123,"{highEquity,vacant}",house,2010,6500,395,35,,active,,,South Tampa Trust,4500 W Gandy Blvd,Tampa,FL,33611,false,true,84,Hillsborough,
6200 Bayshore Blvd,Tampa,FL,33611,3200000,5,4.5,4800,38,27.8945,-82.4856,"{absentee,highEquity}",house,2020,12000,667,9,,active,,,Waterfront Holdings,6200 Bayshore Blvd,Tampa,FL,33611,true,false,22,Hillsborough,
200 Davis Islands,Tampa,FL,33606,1650000,4,3,2600,50,27.9234,-82.4534,"{highEquity}",house,2016,8000,635,22,,active,,,Island Dreams LLC,200 Davis Islands,Tampa,FL,33606,true,false,48,Hillsborough,
900 Channelside Drive,Tampa,FL,33602,580000,2,2,1200,55,27.9445,-82.4478,"{absentee}",condo,2019,0,483,20,,active,,,Channel District Inc,900 Channelside Drive,Tampa,FL,33602,false,false,28,Hillsborough,
875 N Michigan Ave,Chicago,IL,60611,4500000,4,3.5,3800,35,41.8978,-87.6245,"{absentee}",condo,2019,0,1184,10,,active,,,Magnificent Mile LLC,875 N Michigan Ave,Chicago,IL,60611,true,false,24,Cook,
1000 W Washington,Chicago,IL,60607,1850000,3,2.5,2400,48,41.8823,-87.6534,"{highEquity}",condo,2020,0,771,15,,active,,,West Loop Holdings,1000 W Washington,Chicago,IL,60607,true,false,22,Cook,
2400 N Lakeview Ave,Chicago,IL,60614,3200000,4,3,3200,42,41.9267,-87.6389,"{absentee,highEquity}",condo,2018,0,1000,12,,active,,,Lincoln Park Trust,2400 N Lakeview Ave,Chicago,IL,60614,false,false,30,Cook,
500 W Superior St,Chicago,IL,60654,2100000,3,2,2000,52,41.8956,-87.6423,"{highEquity}",condo,2017,0,1050,18,,active,,,River North LLC,500 W Superior St,Chicago,IL,60654,true,false,42,Cook,
180 E Pearson St,Chicago,IL,60611,6800000,4,4,4200,32,41.8989,-87.6234,"{absentee}",condo,2021,0,1619,6,,active,,,Gold Coast Holdings,180 E Pearson St,Chicago,IL,60611,false,false,16,Cook,
1500 S Prairie Ave,Chicago,IL,60605,1450000,3,2.5,2200,55,41.8612,-87.6234,"{highEquity,absentee}",townhouse,2016,3200,659,22,,active,,,South Loop Trust,1500 S Prairie Ave,Chicago,IL,60605,false,false,48,Cook,
3500 N Lake Shore Dr,Chicago,IL,60657,2650000,3,3,2800,45,41.9456,-87.6389,"{highEquity}",condo,2019,0,946,14,,active,,,Lakeview Properties,3500 N Lake Shore Dr,Chicago,IL,60657,true,false,28,Cook,
800 S Michigan Ave,Chicago,IL,60605,980000,2,2,1500,58,41.8712,-87.6245,"{absentee}",condo,2018,0,653,25,,active,,,Grant Park LLC,800 S Michigan Ave,Chicago,IL,60605,false,false,35,Cook,
4200 N Marine Drive,Chicago,IL,60613,1200000,3,2,1800,62,41.9589,-87.6489,"{highEquity,vacant}",condo,2014,0,667,32,,active,,,Uptown Investments,4200 N Marine Drive,Chicago,IL,60613,false,true,60,Cook,
2000 N Lincoln Park West,Chicago,IL,60614,5200000,5,4,4500,38,41.9189,-87.6356,"{absentee,highEquity}",house,2020,8500,1156,8,,active,,,Lincoln Park Holdings,2000 N Lincoln Park West,Chicago,IL,60614,true,false,20,Cook,
3500 Peachtree Road NE,Atlanta,GA,30326,2850000,4,3.5,3800,42,33.8456,-84.3623,"{absentee}",condo,2019,0,750,12,,active,,,Buckhead Holdings,3500 Peachtree Road NE,Atlanta,GA,30326,true,false,24,Fulton,
1000 Piedmont Ave NE,Atlanta,GA,30309,1650000,3,2.5,2400,52,33.7834,-84.3812,"{highEquity}",condo,2018,0,688,18,,active,,,Midtown Trust,1000 Piedmont Ave NE,Atlanta,GA,30309,true,false,36,Fulton,
500 Park Avenue NE,Atlanta,GA,30312,850000,3,2,1800,58,33.7612,-84.3678,"{highEquity,vacant}",house,2012,5500,472,28,,active,,,Inman Park LLC,500 Park Avenue NE,Atlanta,GA,30312,false,true,72,Fulton,
2500 Habersham Road,Atlanta,GA,30305,4200000,5,4,4800,38,33.8512,-84.3834,"{absentee,highEquity}",house,2020,15000,875,8,,active,,,Buckhead Luxury,2500 Habersham Road,Atlanta,GA,30305,false,false,20,Fulton,
800 W Paces Ferry Road,Atlanta,GA,30327,3500000,5,4.5,5200,35,33.8623,-84.4012,"{absentee}",house,2019,12000,673,10,,active,,,Paces Ferry Trust,800 W Paces Ferry Road,Atlanta,GA,30327,true,false,26,Fulton,
1500 Northside Drive,Atlanta,GA,30318,720000,3,2,1600,62,33.8045,-84.4123,"{highEquity}",townhouse,2016,2800,450,25,,active,,,Westside Holdings,1500 Northside Drive,Atlanta,GA,30318,true,false,48,Fulton,
200 Centennial Olympic,Atlanta,GA,30313,980000,2,2,1400,48,33.7623,-84.3923,"{absentee}",condo,2021,0,700,10,,active,,,Downtown Atlanta Inc,200 Centennial Olympic,Atlanta,GA,30313,false,false,16,Fulton,
4000 Paces Ferry Road,Atlanta,GA,30339,2200000,4,3,3200,45,33.8712,-84.4234,"{highEquity,absentee}",house,2017,9500,688,15,,active,,,Vinings Trust,4000 Paces Ferry Road,Atlanta,GA,30339,false,false,42,Fulton,
600 Virginia Ave NE,Atlanta,GA,30306,1450000,4,3,2800,50,33.7867,-84.3512,"{highEquity}",house,2015,7500,518,20,,active,,,Virginia Highland LLC,600 Virginia Ave NE,Atlanta,GA,30306,true,false,54,Fulton,
3000 Lenox Road NE,Atlanta,GA,30324,1850000,3,2.5,2200,55,33.8389,-84.3689,"{absentee}",condo,2020,0,841,14,,active,,,Lenox Properties,3000 Lenox Road NE,Atlanta,GA,30324,false,false,22,Fulton,
7500 E Doubletree Ranch,Scottsdale,AZ,85258,4500000,5,5,5200,38,33.5512,-111.9234,"{absentee,highEquity}",house,2020,25000,865,10,,active,,,Desert Luxury LLC,7500 E Doubletree Ranch,Scottsdale,AZ,85258,true,false,22,Maricopa,
10000 E Pinnacle Peak,Scottsdale,AZ,85255,6200000,5,5.5,6000,32,33.7234,-111.8512,"{absentee}",house,2021,35000,1033,6,,active,,,Pinnacle Holdings,10000 E Pinnacle Peak,Scottsdale,AZ,85255,false,false,16,Maricopa,
5500 E Lincoln Drive,Scottsdale,AZ,85253,3800000,4,4,4200,42,33.5289,-111.9412,"{highEquity}",house,2018,18000,905,14,,active,,,Paradise Valley Trust,5500 E Lincoln Drive,Scottsdale,AZ,85253,true,false,36,Maricopa,
8000 E Camelback Road,Scottsdale,AZ,85251,1850000,3,2.5,2400,52,33.5089,-111.9267,"{highEquity,absentee}",condo,2019,0,771,18,,active,,,Old Town LLC,8000 E Camelback Road,Scottsdale,AZ,85251,false,false,28,Maricopa,
3000 N Scottsdale Road,Scottsdale,AZ,85251,1250000,3,2,1800,58,33.4834,-111.9267,"{highEquity}",townhouse,2017,4500,694,22,,active,,,Scottsdale Living,3000 N Scottsdale Road,Scottsdale,AZ,85251,true,false,42,Maricopa,
12000 E Shea Blvd,Scottsdale,AZ,85259,2650000,4,3.5,3600,45,33.5812,-111.8034,"{absentee}",house,2019,15000,736,12,,active,,,DC Ranch Holdings,12000 E Shea Blvd,Scottsdale,AZ,85259,false,false,26,Maricopa,
6500 E McDonald Drive,Scottsdale,AZ,85253,5200000,5,4.5,4800,35,33.5423,-111.9623,"{absentee,highEquity}",house,2020,22000,1083,8,,active,,,Camelback Trust,6500 E McDonald Drive,Scottsdale,AZ,85253,true,false,20,Maricopa,
4000 N Drinkwater Blvd,Scottsdale,AZ,85251,920000,2,2,1400,55,33.4923,-111.9189,"{highEquity}",condo,2018,0,657,25,,active,,,Fashion Square LLC,4000 N Drinkwater Blvd,Scottsdale,AZ,85251,true,false,38,Maricopa,
9500 E Gainey Ranch,Scottsdale,AZ,85258,3200000,4,4,3800,48,33.5623,-111.8989,"{highEquity,absentee}",house,2017,12000,842,16,,active,,,Gainey Properties,9500 E Gainey Ranch,Scottsdale,AZ,85258,false,false,44,Maricopa,
2000 N Hayden Road,Scottsdale,AZ,85257,750000,3,2,1600,62,33.4712,-111.9089,"{highEquity,vacant}",house,2010,5500,469,32,,active,,,South Scottsdale Trust,2000 N Hayden Road,Scottsdale,AZ,85257,false,true,84,Maricopa,
500 W Main Street,Bozeman,MT,59715,1850000,4,3,2800,45,45.6789,-111.0389,"{highEquity}",house,2019,8500,661,15,,active,,,Bozeman Trust,500 W Main Street,Bozeman,MT,59715,true,false,28,Gallatin,
1200 Bridger Canyon,Bozeman,MT,59715,3200000,5,4,4200,38,45.7123,-110.9812,"{absentee,highEquity}",house,2020,25000,762,10,,active,,,Mountain Holdings,1200 Bridger Canyon,Bozeman,MT,59715,false,false,22,Gallatin,
800 S Church Ave,Bozeman,MT,59715,980000,3,2,1800,55,45.6712,-111.0412,"{highEquity}",house,2017,6500,544,22,,active,,,Downtown Bozeman LLC,800 S Church Ave,Bozeman,MT,59715,true,false,42,Gallatin,
2500 Kagy Blvd,Bozeman,MT,59715,1450000,4,3,2400,50,45.6589,-111.0234,"{absentee}",house,2018,9000,604,18,,active,,,University Properties,2500 Kagy Blvd,Bozeman,MT,59715,false,false,34,Gallatin,
100 Big Sky Resort,Big Sky,MT,59716,5800000,5,5,4800,32,45.2867,-111.4012,"{absentee,highEquity}",house,2021,15000,1208,6,,active,,,Ski Lodge LLC,100 Big Sky Resort,Big Sky,MT,59716,false,false,14,Gallatin,
300 Mountain Village,Big Sky,MT,59716,4200000,4,4,3600,38,45.2812,-111.3978,"{absentee}",house,2020,12000,1167,8,,active,,,Big Sky Holdings,300 Mountain Village,Big Sky,MT,59716,true,false,20,Gallatin,
1500 Andesite Ridge,Big Sky,MT,59716,6500000,5,5.5,5200,35,45.2934,-111.4089,"{absentee,highEquity}",house,2022,18000,1250,4,,active,,,Montana Luxury LLC,1500 Andesite Ridge,Big Sky,MT,59716,false,false,10,Gallatin,
600 Lone Peak Trail,Big Sky,MT,59716,3500000,4,3.5,3200,42,45.2789,-111.3912,"{highEquity}",house,2019,10000,1094,12,,active,,,Yellowstone Trust,600 Lone Peak Trail,Big Sky,MT,59716,true,false,28,Gallatin,
200 Town Center Ave,Big Sky,MT,59716,2200000,3,2.5,2200,48,45.2756,-111.3845,"{highEquity,absentee}",condo,2020,0,1000,14,,active,,,Resort Properties,200 Town Center Ave,Big Sky,MT,59716,false,false,24,Gallatin,
4000 Cottonwood Road,Bozeman,MT,59718,1650000,4,3,2600,52,45.6423,-111.0812,"{highEquity}",house,2018,12000,635,20,,active,,,West Bozeman LLC,4000 Cottonwood Road,Bozeman,MT,59718,true,false,38,Gallatin
